84.970;84.770;85.360;2.296;2.295;2.296
45.626;43.900;44.830;2.182;2.178;2.180
35.156;32.800;33.950;2.054;2.047;2.049
31.216;29.190;30.310;1.909;1.898;1.901
27.870;25.700;26.950;1.742;1.727;1.729
24.414;22.360;23.070;1.563;1.542;1.545
22.736;20.690;21.470;1.397;1.371;1.374
22.226;20.310;20.920;1.248;1.219;1.223
20.296;18.150;19.110;1.121;1.088;1.095
19.284;17.030;18.000;1.017;0.981;0.990
18.182;15.910;17.260;0.933;0.894;0.905
18.098;16.050;17.170;0.865;0.824;0.836
17.024;15.000;16.180;0.808;0.765;0.779
16.196;14.390;15.240;0.761;0.718;0.732
15.944;14.230;14.930;0.722;0.678;0.693
15.098;13.200;14.220;0.687;0.642;0.657
14.836;13.080;13.750;0.656;0.612;0.626
14.852;13.070;13.680;0.630;0.586;0.600
14.094;12.390;13.220;0.607;0.562;0.578
14.008;12.260;13.070;0.588;0.543;0.559
13.574;12.030;12.690;0.570;0.526;0.541
13.656;12.150;12.700;0.554;0.511;0.526
13.244;11.670;12.330;0.540;0.496;0.513
12.988;11.560;12.200;0.527;0.484;0.499
13.056;11.670;12.100;0.518;0.475;0.490
12.578;11.030;11.730;0.506;0.464;0.479
12.438;11.190;11.580;0.495;0.453;0.468
12.478;11.160;11.520;0.486;0.445;0.458
12.116;10.770;11.370;0.477;0.436;0.450
12.144;10.750;11.370;0.471;0.429;0.444
12.004;10.830;11.250;0.463;0.423;0.436
11.954;10.770;11.170;0.456;0.416;0.429
11.802;10.430;10.910;0.450;0.410;0.425
11.720;10.540;10.900;0.444;0.405;0.418
11.822;10.730;11.000;0.441;0.403;0.415
11.488;10.080;10.670;0.435;0.396;0.410
11.396;10.270;10.810;0.429;0.391;0.404
11.390;10.350;10.750;0.424;0.387;0.399
11.222;10.110;10.480;0.420;0.382;0.395
11.220;10.140;10.410;0.417;0.379;0.392
11.144;10.060;10.460;0.412;0.376;0.387
11.126;10.110;10.440;0.408;0.372;0.383
11.042;9.900;10.410;0.405;0.369;0.381
11.032;9.990;10.250;0.401;0.366;0.377
11.118;10.030;10.210;0.401;0.366;0.376
10.822;9.620;10.050;0.397;0.362;0.374
10.712;9.810;10.100;0.392;0.358;0.369
10.680;9.870;10.150;0.390;0.355;0.366
10.610;9.660;9.890;0.386;0.352;0.363
10.568;9.650;10.070;0.385;0.351;0.362
10.562;9.600;9.880;0.382;0.348;0.358
10.500;9.670;9.980;0.379;0.346;0.356
10.466;9.480;9.880;0.377;0.344;0.355
10.464;9.540;9.930;0.374;0.342;0.352
10.526;9.630;9.760;0.375;0.343;0.352
10.292;9.270;9.650;0.372;0.340;0.350
10.178;9.300;9.650;0.368;0.336;0.347
10.204;9.440;9.620;0.366;0.335;0.344
10.098;9.290;9.500;0.364;0.332;0.342
10.116;9.310;9.560;0.363;0.332;0.342
10.088;9.110;9.550;0.361;0.330;0.339
10.022;9.200;9.510;0.358;0.328;0.337
9.972;9.060;9.520;0.357;0.326;0.336
10.036;9.060;9.610;0.355;0.325;0.334
10.062;9.240;9.430;0.356;0.326;0.334
9.846;8.910;9.410;0.354;0.324;0.334
9.804;8.990;9.290;0.351;0.321;0.331
9.810;9.120;9.280;0.349;0.320;0.329
9.696;8.890;9.220;0.347;0.318;0.327
9.702;8.860;9.220;0.347;0.317;0.327
9.684;8.810;9.130;0.345;0.316;0.324
9.666;8.880;9.120;0.343;0.314;0.323
9.610;8.790;9.180;0.342;0.313;0.322
9.668;8.690;9.160;0.340;0.312;0.321
9.670;8.850;9.070;0.341;0.314;0.321
9.490;8.620;9.110;0.339;0.311;0.321
9.460;8.690;8.970;0.336;0.309;0.318
9.478;8.810;8.940;0.335;0.308;0.317
9.342;8.600;8.860;0.334;0.306;0.315
9.366;8.620;8.870;0.334;0.306;0.316
9.364;8.560;8.830;0.331;0.305;0.312
9.302;8.670;8.810;0.330;0.303;0.311
9.214;8.590;8.900;0.329;0.303;0.311
9.314;8.500;8.830;0.328;0.302;0.310
9.368;8.660;8.740;0.329;0.303;0.310
9.154;8.330;8.860;0.327;0.301;0.310
9.136;8.500;8.730;0.325;0.299;0.308
9.142;8.440;8.640;0.323;0.299;0.306
9.052;8.340;8.520;0.322;0.297;0.305
9.078;8.360;8.570;0.322;0.297;0.306
9.062;8.390;8.580;0.320;0.295;0.303
9.040;8.420;8.480;0.319;0.294;0.301
8.952;8.350;8.580;0.318;0.293;0.302
9.012;8.280;8.540;0.317;0.293;0.301
9.082;8.440;8.460;0.318;0.294;0.301
8.908;8.160;8.570;0.317;0.293;0.301
8.844;8.220;8.450;0.314;0.290;0.299
8.874;8.310;8.310;0.313;0.290;0.297
8.760;8.100;8.280;0.312;0.288;0.296
8.774;8.200;8.380;0.312;0.288;0.297
